plz,lat,lon,ort
"7202,7203",47.739444,16.34,Wiesen
"7202,7203",47.739444,16.34,Wiesen
7041,47.773056,16.4767,Antau
7041,47.773056,16.4767,Antau
7021,47.738889,16.502222,Baumgarten
7021,47.738889,16.502222,Baumgarten
7023,47.765556,16.454722,Zemendorf-Stöttera
7023,47.76778,16.461667,Stöttera
7023,47.761667,16.451944,Zemendorf
7031,47.786111,16.414167,Krensdorf
7031,47.786111,16.414167,Krensdorf
7163,47.774167,17.034167,Andau
7163,47.774167,17.034167,Andau
"7132,7143,7161",47.74389,16.83056,Apetlon
"7132,7143,7161",47.74389,16.83056,Apetlon
"2460,2462",48.016667,16.766667,Bruckneudorf
2460,48.0166667,16.766667,Bruckneudorf
"2460,2462",47.988227,16.701794,Kaisersteinbruch
"2460,2462",48.010556,16.717222,Königshof
2423,48.011667,17.105556,Deutsch Jahrndorf
2423,48.011667,17.105556,Deutsch Jahrndorf
7132,47.841111,16.919444,Frauenkirchen
7132,47.841111,16.919444,Frauenkirchen
2474,48.0166667,16.966667,Gattendorf
2474,48.0130,16.9840,Gattendorf
7122,47.897778,16.908889,Gols
7122,47.897778,16.908889,Gols
7131,47.871111,16.974444,Halbturn
7131,47.871111,16.974444,Halbturn
7142,47.763056,16.800278,Illmitz
7142,47.763056,16.800278,Illmitz
7093,47.961111,16.794444,Jois
7093,47.961111,16.794444,Jois
2421,48.066667,17.066667,Kittsee
2421,48.066667,17.066667,Kittsee
7123,47.881389,16.941944,Mönchhof
7123,47.881389,16.941944,Mönchhof
7100,47.948611,16.843056,Neusiedl am See
7100,47.948611,16.843056,Neusiedl am See
2425,47.9405556,17.068889,Nickelsdorf
2425,47.9405556,17.068889,Nickelsdorf
2422,48.033333,17.016667,Pama
2422,48.0490,17.0360,Pama
7152,47.702222,16.906667,Pamhagen
7152,47.702222,16.906667,Pamhagen
"2471,7111",47.994444,16.858333,Parndorf
"2471,7111",47.994444,16.858333,Parndorf
7141,47.857778,16.833611,Podersdorf am See
7141,47.857778,16.833611,Podersdorf am See
7161,47.7833333,16.9333333,Sankt Andrä am Zicksee
7161,47.7833333,16.9333333,Sankt Andrä am Zicksee
7162,47.765,16.986667,Tadten
7162,47.765,16.986667,Tadten
7151,47.728333,16.937222,Wallern im Burgenland
7151,47.728333,16.937222,Wallern im Burgenland
"7100,7121",47.927778,16.8666667,Weiden am See
"7100,7121",47.927778,16.8666667,Weiden am See
7092,47.95,16.75,Winden am See
7092,47.95,16.75,Winden am See
2424,47.983056,17.003056,Zurndorf
2424,47.983056,17.003056,Zurndorf
2475,48.0166667,16.927,Neudorf bei Parndorf
2475,48.0166667,16.927,Neudorf bei Parndorf
2473,48.045278,16.946944,Potzneusiedl
2473,48.045278,16.946944,Potzneusiedl
2413,48.0975,16.989167,Edelstal
2413,48.0975,16.989167,Edelstal
7301,47.601667,16.628056,Deutschkreutz
7301,47.601667,16.628056,Deutschkreutz
7301,47.598336,16.605833,Girm
"7371,7372",47.512778,16.400556,Draßmarkt
7372,47.512778,16.400556,Draßmarkt
7372,47.508889,16.346944,Karl
7371,47.492222,16.355,Oberrabnitz
"7361,7452",47.448889,16.608056,Frankenau-Unterpullendorf
7361,47.446389,16.610833,Frankenau
7452,47.4667,16.5833333,Großmutschen
7452,47.462778,16.575,Kleinmutschen
7452,47.4758334,16.540556,Unterpullendorf
7304,47.539167,16.553333,Großwarasdorf
7304,47.539167,16.553333,Großwarasdorf
7304,47.54222,16.58472,Kleinwarasdorf
7304,47.50333,16.54333,Langental
7304,47.51361,16.57083,Nebersdorf
7312,47.589444,16.546667,Horitschon
7312,47.589444,16.546667,Horitschon
7312,47.59055,16.58167,Unterpetersdorf
7342,47.534167,16.395833,Kaisersdorf
7342,47.534167,16.395833,Kaisersdorf
"7332,7341",47.595278,16.392222,Kobersdorf
7332,47.595278,16.392222,Kobersdorf
7341,47.575835,16.398612,Lindgraben
7332,47.61222,16.378056,Oberpetersdorf
7322,47.589444,16.462778,Lackenbach
7322,47.589444,16.462778,Lackenbach
7442,47.406389,16.419167,Lockenhaus
7442,47.374167,16.3833333,Glashütten bei Langeck im Burgenland
7442,47.409446,16.429167,Hammerteich
7442,47.428889,16.401111,Hochstraß
7442,47.4025,16.37472,Langeck im Burgenland
7442,47.406389,16.419167,Lockenhaus
7361,47.464167,16.640833,Lutzmannsburg
7361,47.464167,16.640833,Lutzmannsburg
7361,47.455555,16.615833,Strebersdorf
"7443,7444",47.428889,16.527778,Mannersdorf an der Rabnitz
7444,47.423056,16.564722,Klostermarienberg
7443,47.413056,16.495277,Liebing
7444,47.428889,16.527778,Mannersdorf an der Rabnitz
7443,47.408611,16.499,Rattersdorf
7444,47.437225,16.5325,Unterloisdorf
"2812,7341",47.562222,16.426667,Markt Sankt Martin
"2812,7341",47.558611,16.331667,Landsee
7341,47.562222,16.426667,Markt Sankt Martin
7341,47.561389,16.3825,Neudorf bei Landsee
7311,47.6,16.546944,Neckenmarkt
7311,47.596946,16.5739,Haschendorf
7311,47.6,16.546944,Neckenmarkt
7343,47.545833,16.445833,Neutal
7343,47.545833,16.445833,Neutal
"7302,7361",47.535833,16.659167,Nikitsch
7361,47.494445,16.608611,Kroatisch Geresdorf
7302,47.526944,16.645556,Kroatisch Minihof
7302,47.535833,16.659167,Nikitsch
"7304,7350",47.5,16.516667,Oberpullendorf
"7304,7350",47.494722,16.517778,Mitterpullendorf
7350,47.5,16.516667,Oberpullendorf
7441,47.441389,16.35,Pilgersdorf
7441,47.427222,16.346389,Bubendorf im Burgenland
7441,47.411944,16.363889,Deutsch Gerisdorf
7441,47.445,16.298611,Kogl im Burgenland
7441,47.463056,16.301944,Lebenbrunn
7441,47.441389,16.35,Pilgersdorf
7441,47.410278,16.3225,Salmannsdorf
7441,47.475833,16.3166667,Steinbach im Burgenland
7371,47.448889,16.418333,Piringsdorf
7371,47.448889,16.418333,Piringsdorf
7321,47.566111,16.531389,Raiding
7321,47.566111,16.531389,Raiding
7323,47.611389,16.496389,Ritzing
7323,47.611389,16.496389,Ritzing
7453,47.476667,16.486667,Steinberg-Dörfl
7453,47.49,16.473333,Dörfl
7453,47.474167,16.487222,Steinberg
"7344,7350",47.53,16.476389,Stoob
"7344,7350",47.53,16.476389,Stoob
"7331,7332",47.579444,16.426944,Weppersdorf
7332,47.621474,16.396051,Kalkgruben
7332,47.603906,16.407495,Tschurndorf
7331,47.579444,16.426944,Weppersdorf
7321,47.589444,16.501111,Lackendorf
7321,47.589444,16.501111,Lackendorf
7321,47.5725,16.499722,Unterfrauenhaid
7321,47.5725,16.499722,Unterfrauenhaid
7371,47.454444,16.376389,Unterrabnitz-Schwendgraben
7371,47.470278,16.355278,Schwendgraben
7371,47.454444,16.376389,Unterrabnitz
7372,47.514167,16.3625,Weingraben
7372,47.514167,16.3625,Weingraben
7451,47.446667,16.507222,Oberloisdorf
7451,47.446667,16.507222,Oberloisdorf
7431,47.334444,16.227222,Bad Tatzmannsdorf
7431,47.334444,16.227222,Bad Tatzmannsdorf
7431,47.347222,16.221944,Jormannsdorf
7431,47.339444,16.235278,Sulzriegel
"2852,7434",47.405,16.255556,Bernstein
7434,47.405,16.255556,Bernstein
"2852,7434",47.420556,16.22,Dreihütten
7434,47.441667,16.289167,Redlschlag
7434,47.408333,16.242778,Rettenbach
7434,47.430833,16.2500000,Stuben
7474,47.1667,16.448,Deutsch Schützen-Eisenberg
7474,47.1667,16.448,Deutsch Schützen
7474,47.135556,16.435556,Edlitz im Burgenland
7474,47.18,16.424168,Eisenberg an der Pinka
7474,47.143056,16.44,Höll
7474,47.138889,16.415,Sankt Kathrein im Burgenland
7423,47.363056,16.066389,Grafenschachen
7423,47.363056,16.066389,Grafenschachen
7423,47.378333,16.036667,Kroisegg
7503,47.238611,16.318611,Großpetersdorf
7503,47.238611,16.318611,Großpetersdorf
7503,47.214446,16.334167,Kleinpetersdorf
7503,47.209722,16.335833,Kleinzicken
7503,47.265556,16.318889,Miedlingsdorf
7503,47.233055,16.351667,Welgersdorf
"7473,7474",47.230278,16.381111,Hannersdorf
"7473,7474",47.215,16.406,Burg
7473,47.230278,16.381111,Hannersdorf
7473,47.207222,16.389722,Woppendorf
7531,47.249722,16.152778,Kemeten
7531,47.249722,16.152778,Kemeten
7512,47.173611,16.357222,Kohfidisch
7512,47.1478,16.386389,Harmisch
7512,47.160833,16.350833,Kirchfidisch
7512,47.173611,16.357222,Kohfidisch
7532,47.208611,16.162778,Litzelsdorf
7532,47.208611,16.162778,Litzelsdorf
7411,47.333611,16.077778,Loipersdorf-Kitzladen
7411,47.324445,16.085555,Kitzladen
7411,47.333611,16.077778,Loipersdorf im Burgenland
7433,47.366528,16.231389,Mariasdorf
7433,47.3625,16.253611,Bergwerk
7433,47.375639,16.263472,Grodnau
7433,47.366528,16.231389,Mariasdorf
7433,47.3530,16.2520,Neustift bei Schlaining
7433,47.3975,16.222778,Tauchen
7411,47.291389,16.080278,Markt Allhau
7411,47.319167,16.101667,Buchschachen
7411,47.291389,16.080278,Markt Allhau
7464,47.29611,16.396389,Markt Neuhodis
7464,47.315,16.3758333,Althodis
7464,47.29611,16.396389,Markt Neuhodis
"7503,7511,7512",47.194167,16.311944,Mischendorf
